Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Calories_Consumed
45,Female,60.7,1.63,170,139,74,1.18,1356,\tCardio,10,3.3,3,3,12.32,1717
43,Female,40,1.69,187,162,66,0.9,886,Strength,28,2.2,2,1,26.48,2250
29,Female,84.4,1.67,184,160,74,1.28,1475,Yoga,10,2.1,5,2,17.62,1834
18,Female,67.5,1.71,185,166,58,1.81,1162,Cardio,10.6,3.5,3,2,37.91,2052
21,Female,62.1,1.68,173,158,71,1.23,1186,Yoga,26.4,3.5,4,1,15.6,2182
41,Male,83.7,1.92,161,163,59,1.37,1308,Cardio,21.4,1.5,2,2,17.48,2516
26,Female,80.6,1.86,195,127,53,2,564,Strength,23.1,1.5,3,2,29.21,2235
33,Male,60.8,1.78,189,147,73,1.04,951,Cardio,27.3,3.3,4,2,,2477
18,Male,44.8,1.81,164,,57,1.2,742,HIIT,23.5,3.3,4,3,19.04,2655
21,Male,62.3,1.91,198,141,51,1.47,1394,Yoga,22.7,1.8,3,2,17.4,2325
49,Female,97.4,1.67,171,132,72,1.97,1091,Cardio,30.4,3.6,3,1,12.32,2098
19,Male,51.4,1.78,167,154,70,2,1218,Yoga,29.8,2.1,3,2,13.61,2438
31,Male,79.1,1.74,192,167,74,0.93,1157,Cardio,18.7,1.9,2,3,13.83,2542
43,Male,57.5,2,172,126,64,1.4,735,Cardio,16.9,2.1,3,1,20.98,2401
43,Female,70.6,1.71,193,148,54,1.28,725,Cardio,27.1,3.6,3,1,22.55,2178
18,Female,72.5,1.79,173,140,67,1.34,1629,Strength,27.3,2.7,5,1,19.58,2477
44,Female,68,1.66,182,146,68,0.82,1278,HIIT,20.7,3,5,1,16.02,1778
21,Female,121.6,1.78,182,151,50,1.81,1242,Yoga,21,3.5,4,2,16.63,1927
44,Male,55.1,1.9,196,165,55,1.26,901,,26.9,2.6,3,1,22.13,2349
58,Female,51.2,1.72,165,139,70,0.79,1612,Yoga,20.6,2.1,3,3,36.29,1693
35,Female,60.8,1.64,161,127,74,1.57,1132,Yoga,20.7,3.7,3,3,19.54,1758
18,Male,49.8,1.96,199,162,74,1.64,996,Strength,,2.3,4,2,14.35,2567
26,Female,64.7,1.75,172,157,52,1.35,1193,Yoga,23.5,1.6,3,2,18.21,1868
24,Female,58.5,1.87,183,128,74,1.36,1034,HIIT,24.8,3.3,4,1,24.49,2000
31,Female,49.1,1.7,162,167,63,1.1,891,Strength,23.5,2.9,3,1,15.73,1980
39,Female,67.8,1.59,164,158,74,1.65,1374,Strength,25.9,2.6,5,2,25,2090
22,Male,43.3,1.69,176,158,53,1.31,500,,23.7,1.5,2,2,13.83,2590
44,Female,40.8,1.74,177,165,72,,384,HIIT,10,,3,1,13.11,2098
18,Male,71.5,1.69,186,124,60,1.53,763,Yoga,16.9,2.5,2,1,15.8,2434
50,Male,41.1,1.51,169,152,63,2,1069,Strength,24.9,1.5,4,2,31.59,2577
27,Male,52.3,1.6,177,124,66,0.93,416,Strength,22.5,,5,2,31.64,2507
28,Male,73.2,1.76,171,159,61,1.21,973,HIIT,26.4,2,4,1,12.32,2156
41,Female,117.7,1.67,189,123,58,2,1243,Yoga,26.2,3.2,2,1,17.26,1607
31,Male,63.8,1.74,199,140,55,1.5,741,HIIT,28.1,1.6,3,2,25.22,2451
31,Male,62.1,1.71,172,169,55,1.52,854,HIIT,27.4,3.7,3,3,,2217
18,Male,52,1.66,199,137,74,2,1314,Cardio,26.7,3.3,3,1,20.41,2552
25,Female,73.3,1.5,185,169,67,1.38,433,Strength,30.6,1.5,4,1,22.55,2160
18,Male,50,1.83,163,140,64,1.41,969,Yoga,19,1.9,3,2,14.29,2294
34,Male,90,1.74,194,167,57,1.36,764,Cardio,25,2.6,4,2,13.77,2642
39,Male,109.6,1.84,199,152,74,1.27,790,HIIT,26.7,3.5,2,2,19.77,2398
18,Male,43.5,1.77,161,136,57,2,452,Cardio,24.4,3.3,5,1,21.96,2631
20,Male,115.4,1.73,187,154,63,1.12,878,Yoga,30.7,3.5,3,1,27.02,2495
22,Male,47.4,1.91,161,164,73,2,1206,Cardio,26.6,3.5,5,3,15.36,2673
18,Male,54.6,1.66,189,142,64,1.19,523,HIIT,34.7,2.6,2,1,18.88,2570
36,Male,40,2,193,121,,1.98,1282,Yoga,25.7,2.6,4,1,27.96,2389
26,Female,71.2,2,169,159,52,1.42,749,Strength,29.8,3.5,4,2,27.16,2199
53,Female,46.4,1.7,169,120,72,1.49,1415,Yoga,21.9,3.4,4,2,14.08,1421
18,Female,69.9,1.78,160,143,74,2,930,HIIT,19.6,2,3,3,12.32,1934
20,Male,64.9,1.69,187,128,54,0.68,1303,Cardio,10,3.3,4,3,14.87,2780
43,Female,47.6,1.65,198,140,61,2,692,Cardio,22,3.5,3,2,22.14,2148
23,Male,48.9,1.7,168,156,65,1.4,1776,Yoga,32.5,2.1,,2,21.36,2525
38,Female,78.6,1.98,194,136,69,1.3,1590,Strength,27.2,2.3,4,2,25.52,2246
51,Female,72.2,1.91,184,140,70,1.39,960,HIIT,21,1.5,3,2,17.41,1779
54,Female,79.8,1.94,163,120,63,1.53,827,Yoga,25.3,3.3,4,2,12.32,1511
22,Male,62.8,1.71,182,153,70,2,816,Yoga,15.8,,3,2,14.23,2434
26,Female,122.7,,191,151,72,1.14,524,Strength,24.3,1.5,2,3,17.44,2066
23,Female,52.4,1.86,166,130,59,1.53,880,Yoga,21.6,1.5,4,2,12.32,2029
42,Female,67.7,1.82,199,125,55,0.76,1239,Cardio,15,3.4,2,2,21.78,1929
34,Female,88.8,1.56,198,160,53,1.18,1086,Cardio,32.6,3.4,4,2,30.43,2226
29,Female,101.5,1.9,175,165,74,1.46,1128,Yoga,26.3,2.7,2,1,25.74,1789
18,Male,40,1.72,195,137,52,2,1783,Cardio,18.6,1.5,4,1,12.77,2583
24,Male,40,2,173,126,50,1.1,1783,Cardio,31.9,1.6,3,1,34.62,2455
,Male,50.5,1.76,192,156,72,1.25,768,Cardio,12.8,1.7,4,2,16.06,2588
41,Female,66.2,1.83,196,126,74,1.6,993,Yoga,20.2,2.5,5,1,24.37,1668
37,Female,77.5,1.5,175,142,70,1.58,1141,Yoga,21.2,1.8,3,,12.32,1601
30,Female,119.6,1.72,191,150,74,1.77,1006,Yoga,13.1,2.2,4,3,13.32,1639
38,Male,40,1.5,172,169,59,1.52,1107,HIIT,24.9,2.8,3,1,36.71,2118
18,Male,82.3,1.74,198,155,55,1.38,1368,Strength,26,3.3,2,3,17.15,2570
54,Male,71.2,1.7,190,120,58,1.21,708,,14.4,3.1,4,2,12.46,2247
34,Male,53,1.92,199,134,68,1.12,790,Strength,19.8,3.5,4,3,16.18,2372
56,Female,45.7,1.96,192,153,71,2,868,Yoga,11.4,2,4,2,21.34,1581
18,Female,79.6,1.75,168,125,54,1.26,682,HIIT,25.1,2.4,3,2,12.32,2097
42,Female,105.3,1.67,175,143,74,1.1,1115,Strength,25.4,3.3,3,1,12.32,2267
31,Male,84.5,1.56,194,124,70,1.31,734,Strength,23.6,3.3,2,2,21.57,2451
50,Male,98.6,1.54,187,126,57,0.72,940,Strength,23.5,1.6,3,1,12.32,2713
27,Male,55.4,1.72,186,153,74,2,1281,\nStrength,10.9,2.4,4,2,14.56,2267
41,Female,40,1.77,168,154,74,1.14,628,HIIT,19.9,3.4,5,1,24.52,1976
26,Female,63.9,1.75,199,121,72,2,638,HIIT,23.6,3.4,4,2,23.96,1966
47,Male,40,1.91,185,,74,1.41,608,Cardio,24.3,2.9,3,1,27.2,2410
31,Female,40,2,192,134,55,1.44,1116,Strength,12,2.6,2,2,21.2,2127
27,Male,91.9,1.5,185,154,60,1.08,825,HIIT,28.8,3.2,5,2,21.07,2132
20,Female,42.4,1.69,198,129,58,0.77,1030,HIIT,28.1,1.5,,1,20.39,1912
21,Male,76.8,1.52,191,140,66,1.08,702,Cardio,21,3.6,3,2,25.59,2588
47,Female,70.7,1.66,195,169,60,1.25,1033,\tYoga,16.7,3.5,4,2,14.61,1807
33,Male,40,1.88,196,162,58,1.59,1131,Yoga,30.4,2.6,3,1,21.91,2103
59,Male,40,1.56,163,167,74,1.59,722,Cardio,23.7,3.2,4,3,12.32,2250
43,Male,46.8,1.67,178,141,64,1.03,1403,Cardio,26.1,3.2,3,1,14.13,2418
27,Male,100.7,1.75,163,166,61,1.28,1159,Cardio,28.1,3.7,3,1,12.32,2445
44,Female,73.4,1.59,199,152,72,0.94,721,Cardio,23,2.2,4,1,33.25,2082
22,Male,63.4,1.83,196,169,71,1.66,466,Cardio,28,3.4,2,3,24.61,2592
19,Female,129.9,1.71,161,169,56,2,443,Yoga,29.6,2.4,4,2,12.32,2166
24,Female,48.3,1.73,193,136,62,1.98,1404,Strength,22,3.5,3,1,13.22,2542
45,Female,80.5,1.89,183,134,74,1.02,1311,HIIT,24.6,1.9,4,1,12.32,1904
35,Female,42.9,1.51,163,131,74,2,526,Cardio,15.3,3.3,5,,13.74,2224
18,Male,74.6,1.88,177,166,53,2,1010,Cardio,18,2.2,5,1,30.5,2465
21,Male,66.7,1.93,175,166,63,1.26,949,Yoga,27.8,3.4,2,2,13.53,2444
31,Female,55,1.6,172,164,53,1.85,1361,Strength,20.6,3.4,4,1,16.04,2083
27,Female,52.3,1.77,193,130,57,2,993,Yoga,25.6,,4,1,15.08,1967
46,Male,65.7,1.75,192,135,59,1.31,881,Strength,10,2.7,2,1,31.78,2356
53,Female,84.7,1.61,193,158,72,2,478,Yoga,25.6,2.4,3,1,18.57,1696
18,Female,80.4,1.97,172,137,74,1.62,617,Strength,22.4,3.4,3,1,16.91,2243
18,Female,63.4,1.85,191,148,69,0.89,1106,Strength,21.4,2.3,5,3,15.64,2193
48,Female,61.8,1.71,172,140,62,1.37,1266,Cardio,28.6,3.6,4,1,23.64,1956
53,Female,64.4,1.58,198,158,74,1.82,1144,Yoga,27.2,3,2,1,18.33,1714
25,Male,44.2,1.9,174,159,50,1.1,1293,Yoga,25.7,2.5,4,2,19.26,2324
18,Female,43.1,1.75,183,138,53,1.95,437,Cardio,19.1,3.6,2,2,18.14,2418
18,Male,92.1,1.59,171,150,54,1.17,968,Yoga,21.8,2.4,5,2,25.66,2290
31,Male,58.7,1.66,183,149,74,1.15,1368,Cardio,23.1,2.3,4,1,12.32,2322
44,Female,59.4,1.67,197,164,53,1.31,676,Cardio,24.8,,3,2,19.28,1900
59,Female,44.5,1.84,183,154,71,1.28,787,Cardio,26.5,1.7,2,2,20.22,1782
44,Female,84.8,2,196,155,70,1.66,1439,HIIT,12.1,1.7,2,1,14.34,1803
57,Female,80,1.79,167,127,54,1.01,312,Yoga,24.3,2.6,4,2,13.16,1695
20,Male,87.1,1.91,186,150,51,1.39,1431,Yoga,27,2.8,3,3,21.51,2250
27,Male,56.4,1.76,198,129,71,1.79,488,HIIT,22.9,3.3,4,1,17.49,2286
32,Male,58.4,2,179,139,60,1.21,1379,Strength,23.3,3.2,4,2,22.61,2609
42,Female,68.5,1.75,187,167,54,1.3,708,Cardio,15.4,1.6,4,1,33.91,2128
48,Female,77.7,1.76,,156,53,2,1153,Cardio,28.4,2.4,3,1,25.3,1966
55,Female,67.1,1.58,199,122,71,1.86,960,Strength,21.7,1.5,4,2,28.07,1955
31,Female,55.7,1.8,168,167,64,1.53,600,HIIT,34.4,2.8,4,3,25.27,1930
39,Female,63.2,1.74,181,157,54,1.62,900,Strength,13.9,2.1,5,1,15.32,2230
40,Female,64.6,1.55,198,133,74,1.39,303,Strength,21.4,1.5,2,2,16.91,2087
35,Male,55,,172,149,62,1.43,1423,Strength,30,3.5,3,2,23.55,2364
36,Female,71.9,1.66,177,,73,0.96,556,Yoga,23.3,3.2,2,2,14.97,1624
26,Female,56.7,1.73,168,144,71,0.68,1129,Strength,25.5,3.4,3,1,19.65,2031
48,Male,56,1.7,164,132,50,2,1148,HIIT,26.6,3.1,2,2,19.44,2406
54,Female,74.9,1.69,195,153,62,1.1,1389,Yoga,14.4,3.1,3,1,18.71,1489
55,Female,47,1.68,164,156,67,1.59,851,Cardio,33.1,2.8,3,2,28.23,1863
18,Female,43,1.95,163,164,68,2,1349,Strength,18.5,3.2,2,2,12.32,2162
59,Male,70.2,1.77,172,124,68,1.47,1069,Cardio,21.4,3.5,4,1,40.19,2140
23,Male,96.5,1.8,187,155,68,0.92,1465,Yoga,29.3,3.2,3,1,12.32,2594
30,Male,56.6,2,184,125,52,1.29,918,Cardio,28.9,3.3,2,1,23.89,2354
38,Female,40,1.88,164,154,70,1.63,1109,Yoga,20.7,1.7,2,2,12.64,1716
18,Male,101.2,1.59,198,122,58,1.08,,Strength,28.6,3.1,4,2,19.39,2816
48,Female,81.9,1.8,180,165,67,1.25,1410,Cardio,24,3.5,4,2,18.28,2206
47,Male,121.4,1.61,164,155,74,0.94,934,Strength,24.7,2.5,2,1,30.03,2749
21,Female,70.5,1.84,173,127,66,0.97,1013,Cardio,26.7,1.6,5,3,25.59,2249
23,Female,70.5,1.65,192,162,50,0.63,1186,Cardio,27.1,2.6,2,2,20.02,2070
46,Male,54.8,1.69,194,148,74,0.52,846,Yoga,16.5,3.5,3,3,22.85,2162
42,Male,72,1.9,184,147,67,1.48,1047,Yoga,15.6,3.4,3,1,24.6,2055
29,Male,56.3,1.81,189,166,65,1.39,1066,Strength,14.3,2.9,3,1,22.34,2593
18,Male,46.5,1.54,198,169,55,,1060,Cardio,28.9,3.1,5,1,14.01,2842
47,Female,51.4,1.88,176,125,58,0.88,1133,Yoga,24,3.3,3,3,14.3,1748
43,Male,42.6,1.62,189,169,74,1,1213,Strength,13.6,3.5,2,,21.81,2439
18,Male,73,1.78,161,131,50,2,1319,Strength,26.1,1.5,5,1,12.32,2651
50,Male,87.9,1.68,192,151,71,2,494,Strength,15.5,3.1,3,3,31.28,2526
35,Male,53,1.67,183,128,72,1.29,682,Yoga,21.9,2.2,3,2,16.71,2150
43,Female,46.3,1.61,190,136,69,2,1185,Yoga,21.4,3.5,4,1,14.14,1681
50,Male,82.8,1.9,161,130,74,1.51,1151,,16.8,3.3,4,3,28.59,2270
53,Female,82.9,1.6,170,148,55,1.93,541,HIIT,17.8,2.5,3,2,12.33,1620
18,Female,71.9,1.54,177,120,73,1.17,817,Strength,16.8,2.6,3,1,29.64,2374
27,Male,41,1.82,171,138,53,1.47,1273,Cardio,29.1,2.4,4,1,12.35,2621
18,Female,81.9,1.79,178,160,60,1.24,1172,,28.5,1.7,3,3,12.32,2059
18,Male,67.7,1.69,192,123,57,1.44,1445,Cardio,26.8,3.1,3,2,21.16,2661
22,Female,99.5,1.79,186,122,56,1.45,1783,Cardio,27.6,3.5,2,2,23.56,2383
31,Female,47.4,1.73,178,150,57,1.64,962,Cardio,28.8,2,4,3,20.91,1996
18,Male,71.1,1.84,189,127,74,0.85,1303,Strength,15.2,2.8,2,3,30.36,2614
22,Male,89.8,1.79,179,163,59,2,1098,Strength,28.2,1.7,3,1,12.32,2891
28,Female,81.7,1.81,177,130,50,1.45,507,Cardio,23.2,1.7,3,1,34.26,2104
40,Male,40.4,1.68,171,130,54,2,527,Strength,27.3,3.3,4,3,20.47,2425
56,Male,40,1.63,181,133,50,0.89,1674,Yoga,23.4,1.5,3,2,20.75,2151
41,Male,40.2,1.76,198,135,56,1.93,964,Strength,18.8,3.4,4,1,19.02,2737
47,Male,49.9,1.74,190,120,65,1.97,406,HIIT,29.4,1.5,5,2,16.01,2407
42,Male,41.9,1.84,168,154,71,1.49,1029,,30.6,2.6,4,2,22.97,2273
26,Male,40,1.72,164,169,58,0.89,1198,HIIT,17,1.6,5,2,20.71,2483
18,Male,47.3,1.75,196,169,56,1.32,706,Cardio,29,1.9,2,2,30.5,2478
54,Male,79.6,1.87,190,155,53,,884,Strength,27.7,3.5,2,2,12.32,2413
19,Female,76.6,1.84,188,138,71,1.72,699,HIIT,28.3,3.5,4,1,19.76,2276
32,Female,69.5,1.65,192,140,52,1.71,1163,Cardio,29.8,3.5,4,1,15.8,1864
46,Female,68.6,1.63,177,150,58,2,1074,Strength,25.8,3.6,3,3,19.42,2164
46,Male,73,2,184,123,64,0.9,1159,Cardio,10,3.4,5,3,14.91,2390
52,Female,40.8,1.71,181,169,73,1.44,303,Yoga,28.3,1.6,3,1,18.31,1410
19,Male,42.1,1.6,194,148,73,1.27,1305,Cardio,12.7,3.3,2,2,16.65,2797
34,Male,40,1.82,176,141,66,1.34,1709,Cardio,24.1,3,4,1,15.3,2428
18,Female,67.1,1.71,174,165,74,1.84,577,\nStrength,27.1,2.7,4,3,24.9,2215
53,Male,67.2,1.68,190,138,55,1.67,924,,22.6,1.5,3,1,13.91,2279
29,Male,72.1,2,166,124,67,2,1582,Strength,32.7,3.4,3,2,21.75,2557
49,Female,62,1.87,195,125,74,1.04,842,HIIT,20,3.5,3,1,22.02,1730
52,Male,71.3,1.84,197,126,73,1.22,765,Cardio,29.2,1.8,2,,12.32,2378
28,Female,85.6,1.54,168,128,59,1.45,860,Yoga,14.9,2.4,4,1,12.32,1628
21,Male,51.9,1.57,170,167,73,1.25,1082,Strength,27.5,1.6,3,2,18.89,2849
33,Male,92.8,1.59,161,150,52,1.19,1640,Cardio,23.8,2.6,3,3,15.84,2316
58,Female,40,1.7,193,120,52,0.99,1178,Yoga,21.2,2.5,5,1,12.32,1759
36,Female,44.9,1.79,166,120,74,1.66,811,HIIT,16.2,3.3,3,1,29.4,1777
33,Male,78.6,1.7,161,168,65,2,855,Cardio,10,3.2,2,1,16.53,2263
42,Female,54,1.69,179,169,53,1.19,458,,25.7,3.3,3,3,14.91,1790
29,Male,53.8,1.66,163,133,64,2,1187,Strength,34.5,1.5,4,1,23.95,2670
26,Female,91.7,1.58,167,120,52,1.65,1334,Cardio,29.2,2.6,2,2,,2221
44,Male,63.3,1.88,189,150,74,1.02,1184,Strength,16.5,3.5,4,1,13.03,2421
42,Female,98.1,1.73,165,120,69,1.52,477,Yoga,21.7,1.9,2,2,15.29,1912
39,Male,129.9,1.81,190,140,74,1.89,,HIIT,14.9,2.5,2,3,26.54,2453
56,Female,40,1.85,194,158,67,1.43,1633,Yoga,30.6,1.9,4,1,21.57,1446
32,Male,87.2,1.5,193,152,58,1.28,1538,Cardio,23.2,2.1,3,3,16.29,2421
31,Male,64.8,1.71,174,164,57,1.64,857,HIIT,26.2,2.7,4,,23.64,2132
48,Male,51.6,1.8,181,161,68,0.82,1487,Cardio,22.5,1.9,4,2,13.29,2357
21,Male,69.4,1.85,177,153,74,1.55,879,Strength,10,2.4,3,2,17.58,2731
38,Female,77.4,1.54,169,149,50,2,867,Strength,29,3.6,5,2,13.58,2345
58,Female,76.3,1.56,190,145,72,2,913,Strength,,3.3,3,3,16.67,2080
42,Female,82.3,1.94,198,132,57,1.46,1050,Yoga,10,3.2,3,2,20.23,1881
40,Female,95.5,1.84,196,144,68,1.94,1568,Yoga,26.7,3.7,3,1,17.55,1684
19,Male,60.7,1.7,183,128,74,1.22,817,Strength,20.9,2.8,4,1,35.87,2608
34,Male,40,1.88,188,131,54,1.29,840,Cardio,11.9,1.9,3,3,18.81,2561
37,Female,63.1,1.84,185,158,56,1.3,1248,HIIT,31.9,3.5,3,1,26.39,1929
51,Female,55.7,1.5,188,143,58,1.19,1302,HIIT,27.7,2,3,1,28.28,1576
52,Male,53.1,1.55,184,167,50,1.95,1205,Strength,14.6,3.5,5,1,12.32,2538
52,Female,65.8,1.82,168,167,71,1.15,751,Strength,17.1,1.5,3,1,32.86,1837
18,Female,47,1.72,169,136,66,2,945,Strength,22.8,3.3,4,2,26.19,2174
35,Female,40.4,1.71,176,130,70,1.97,1110,HIIT,17,3.6,4,3,29.32,1791
45,Male,40,1.75,194,120,50,1.67,1296,Yoga,28.8,1.9,3,3,26.88,2206
31,Male,40,2,176,162,69,1.45,949,Cardio,26.9,3.2,3,2,30.36,2373
27,Male,40,1.68,166,128,59,1.6,1112,Yoga,10,2.6,4,2,19.67,2063
27,Female,60.1,1.94,184,162,74,2,,Strength,27.2,3.4,3,1,14.02,1984
18,Male,73,1.89,172,153,56,1.19,596,Cardio,15.6,3.4,5,1,17.22,2580
35,Female,127.6,1.65,174,156,56,1.9,1084,HIIT,20.4,3.4,5,1,15.36,1890
49,Female,47,1.72,171,122,73,1.02,614,HIIT,21.6,1.8,4,1,18.86,2070
18,Female,40,1.68,178,147,71,2,831,HIIT,17.3,3.5,4,1,24.89,2211
19,Female,43.6,1.7,168,126,55,1.42,685,HIIT,23.9,1.5,4,3,19.35,2051
24,Male,54,1.71,191,169,71,1.23,730,Cardio,29,2.7,2,2,15.39,2646
44,Male,53.1,1.64,160,160,74,1.65,749,Cardio,27,3.2,,2,27.79,2310
21,Female,87.8,1.88,195,133,74,1.95,621,HIIT,19.9,3.4,3,3,20.22,2175
42,Male,67.4,1.91,191,146,52,1.26,,HIIT,26.9,3.7,3,3,23.62,2213
38,Male,82.7,2,178,138,72,1.46,1219,Yoga,25.8,3.6,4,1,24.74,2082
33,Male,84,1.7,194,156,73,0.5,580,Cardio,20.5,2.5,3,3,13.38,2527
18,Female,58.4,1.87,167,168,74,1.42,1306,Cardio,26.9,3.2,2,1,17.66,2119
48,Male,63.8,1.79,185,135,71,1.69,1242,HIIT,29.7,1.5,4,1,25.54,2363
45,Male,94.6,1.69,178,147,56,1.95,1105,Yoga,29.9,1.8,2,2,15.15,2344
21,Female,40,1.58,165,134,69,1.05,624,Strength,29.2,1.7,3,1,12.47,2191
59,Female,71.1,1.73,184,125,66,1.07,691,Cardio,25.2,2.6,2,3,34.41,1803
19,Female,116.6,1.72,187,126,70,1.1,779,Strength,23.8,2.6,3,2,16.61,2411
36,Female,55,1.77,161,142,74,1.04,1564,,19.8,3.2,2,2,21.97,1745
33,Female,76.3,1.88,169,161,69,,1265,Cardio,24.2,1.5,4,2,14.97,1904
22,Female,48.6,1.72,177,156,70,1.39,708,Yoga,25.4,3.4,3,1,20.42,1971
42,Male,57.3,1.73,194,153,65,1.97,1132,Strength,22.2,3.2,4,1,19.54,2457
36,Female,55.9,1.76,181,169,74,1.91,474,Strength,18.2,1.5,5,1,12.32,1983
41,Male,73.2,2,179,161,58,1.06,758,HIIT,17.6,1.8,2,1,18.61,2499
23,Male,58.7,1.69,189,135,,1.37,1231,Yoga,26.6,3.3,2,1,23.64,2242
24,Female,91.8,1.82,171,140,52,2,1065,Strength,16.1,2.7,4,2,24.37,2524
42,Female,47.7,1.72,183,150,57,1.95,782,Yoga,31.4,3.1,3,,14.27,1655
55,Female,51.9,1.64,171,150,68,1.05,1619,Strength,22.8,2.2,5,3,25.06,1760
36,Male,60.1,1.78,186,169,51,1.46,1108,Cardio,35,2,3,1,16.06,2646
18,Female,40,1.56,196,149,56,0.79,1027,Strength,27.6,1.9,2,1,12.98,2232
23,Female,64.7,2,184,169,55,1.46,860,Strength,32.4,2.5,5,2,20.45,2335
24,Male,73,1.61,188,131,60,0.56,864,Yoga,27.4,3.6,2,2,12.36,2592
41,Male,90.3,1.76,180,,70,1.96,1596,Cardio,22.6,2.3,4,1,12.32,2305
48,Female,79.1,1.63,168,135,53,1.15,1302,Yoga,35,3.3,4,1,27.86,1754
47,Female,82.2,1.72,174,126,70,1.15,1211,Yoga,25,3.7,2,3,12.4,1660
54,Male,40,1.79,162,162,54,2,444,Yoga,16.9,2.3,5,3,22.6,2061
33,Female,60.7,1.57,179,135,69,1.24,964,HIIT,26,2.9,3,1,15.19,1822
29,Female,48.9,1.7,194,145,55,1.12,487,Cardio,33.9,2.2,5,2,28.96,2248
50,Female,76.4,1.54,172,133,71,1.3,1311,Strength,25.2,2.1,3,1,33.64,2111
49,Female,95.6,1.67,164,134,74,1.71,466,Cardio,26,1.8,3,2,14.67,2026
25,Female,85.1,1.98,185,148,58,1.29,785,Yoga,22.5,3.5,4,1,14.37,1968
34,Female,72.9,1.71,164,122,73,1.78,432,HIIT,27.8,1.5,2,2,20.67,2038
30,Female,42.2,1.63,177,134,74,2,685,Yoga,26.4,3.7,3,2,28.27,1925
49,Male,40,1.76,193,124,72,1.3,1196,Cardio,11.2,2.2,4,2,16.86,2480
18,Male,51.8,1.58,164,164,51,0.84,1110,Cardio,25.8,3.5,3,3,16.04,2474
31,Male,91.5,,189,169,58,1.51,786,Yoga,24.6,3.6,3,1,19.09,2263
22,Male,64.6,2,196,137,73,0.85,704,HIIT,21.4,2.5,3,3,22.43,2659
47,Male,66.5,1.79,193,155,51,0.69,1656,,24,2.8,5,1,16.95,2201
54,Male,55.2,1.8,168,137,55,2,1472,HIIT,27,3.1,4,2,23.47,1997
49,Female,105.3,1.83,165,150,70,1.53,699,Strength,31.4,3.7,3,1,39.35,2201
18,Male,74.1,1.76,170,135,62,1.24,1214,Cardio,13.7,2.5,3,2,13.25,2810
46,Female,40,1.75,170,142,63,0.96,919,Cardio,22.3,2.4,4,2,12.41,2119
18,Male,91.1,1.76,197,162,59,1.52,1362,Cardio,28.8,3.4,3,1,14.34,2604
21,Female,49.2,1.64,177,164,53,0.58,1114,HIIT,23.3,2.9,3,1,23.08,1962
44,Female,87.8,1.77,163,157,67,1.18,,Yoga,23.7,2,4,2,12.32,1812
48,Female,40,1.77,180,127,54,1.48,1460,HIIT,27.2,2.4,5,3,18.51,1783
48,Female,60,1.92,165,140,72,2,1751,HIIT,11.1,1.5,2,2,32.68,1877
21,Male,56.1,1.54,\t182,168,52,1.34,1083,Strength,33.1,2.5,4,2,18.76,2900
51,Female,46.2,1.73,192,169,62,1.55,1389,Cardio,32.8,1.7,,3,14.87,1762
36,Male,68.2,1.91,188,131,69,2,1162,Strength,33.1,1.5,3,3,,2578
44,Male,56.1,1.68,191,152,69,1.8,1223,Strength,15.4,2.6,4,2,17.28,2639
24,Male,51.7,1.93,182,158,70,,1783,Yoga,24.4,2.7,2,1,16.29,2255
51,Male,65.8,1.62,191,169,74,1.36,1073,HIIT,28.2,3.5,2,,21.21,1942
32,Female,40,1.88,174,148,50,1.94,1436,Strength,27.4,,2,3,12.32,2324
45,Male,59.5,1.61,194,121,55,1.3,741,Cardio,24.5,2,4,3,21.71,2402
58,Male,73.5,1.93,175,169,61,1.45,1019,HIIT,14,2.7,2,2,14.74,2231
21,Male,54.7,1.56,191,157,55,1.13,682,\tCardio,25.2,1.5,4,2,,2382
18,Female,52.1,1.73,183,135,74,1.4,1141,Cardio,23.9,3.1,3,1,12.32,2326
59,Female,60.6,1.92,180,168,55,1.46,1046,,24.6,2,3,3,30.51,1577
20,Female,104.3,1.79,197,158,72,1.3,933,Strength,23.4,3.2,2,3,16.4,2200
39,Female,65.3,1.61,187,141,74,1.69,1783,HIIT,30.3,3.4,3,3,21.86,1913
52,Male,47.8,1.79,168,144,68,0.95,715,Cardio,27.3,2.4,5,3,17.21,2348
18,Female,51.1,1.83,180,130,57,1.05,939,Strength,17,3,3,2,16.85,2390
34,Male,62.5,1.87,185,167,73,0.96,1353,Cardio,29.6,2.3,4,1,31.91,2400
59,Female,57.4,1.56,190,156,72,1.15,813,Cardio,18.5,2.7,3,2,25.59,1933
37,Male,108.7,1.55,163,122,68,1.19,1104,Strength,26.9,1.6,4,2,26.23,2560
41,Female,40,1.6,164,143,73,1.52,727,Yoga,23.5,3.4,5,2,15.53,1969
53,Female,65.2,1.72,196,152,50,1.87,1073,Cardio,24.8,3.7,,1,22.39,1996
23,Male,90,1.58,172,164,60,0.78,682,Strength,25,3.2,4,1,12.32,2608
28,Female,91.6,1.68,191,128,59,0.68,1783,Yoga,19.1,2.6,2,2,12.48,1990
48,Female,84.1,1.69,187,136,56,1.68,758,Strength,22.2,2.3,3,3,16.11,2239
